번호, 기사 제목, 기사 요약, 링크
10, 미도리마케팅 24시간 자동화 셀프 마케팅 서비스 출시, 광고 대행사 '미도리마케팅'이 최근 24시간 자동화 셀프 마케팅 서비스를 출시했다고 밝혔다. 미도리마케팅이 시행하는 자동화 셀프 마케팅 서비스는 최고의 서비스와 효과를 선사하기 위해 광고주들의 입맛대로 원하는..., https://www.itbiznews.com/news/articleView.html?idxno=89504
11, 영남이공대 학생 19명 오므론 산업자동화시스템 국제 자격인증 취득, 영남이공대학교 ICT반도체전자계열 학생 19명이 오므론 산업자동화시스템 국제공인 자격인증을 취득했다. 2일 영남이공대에 따르면 오므론 산업자동화시스템 국제공인 자격인증시험은 글로벌 산업 ..., http://www.newsis.com/view/?id=NISX20230202_0002178331&cID=10810&pID=10800
12, 클리노믹스 암 탐지용 액체생검 자동화 기기 발표, 분리하는 자동화된 기기를 개발 관련 논문을 JoVE지에 발표했다. 클리노믹스 관계자는 “클리노믹스는 한국에서 가장 앞서 액체생검기반 암진단 기술을 개발해 왔으며 자동화 기기를 사용하여 암관련 물질을..., http://www.edaily.co.kr/news/newspath.asp?newsid=02919206635506584
13, 국립중앙도서관 업무 처리 자동화 디지털 혁신, 국립중앙도서관이 업무 처리 자동화(RPA) 시스템을 본격 운영한다. 국립중앙도서관은 2일 RPA 시스템을... RPA 시스템은 사람이 직접 수행하던 단순하고 반복적인 업무를 로봇 소프트웨어를 통해 하는 기술로..., http://www.newsis.com/view/?id=NISX20230202_0002178556&cID=10701&pID=10700
14, 옵스나우360 발표한 베스핀글로벌 “AI와 자동화로 강해졌다”, AI 엔진과 자동화 앞세워 뛰어난 사용성과 비용 절감에 주목 베스핀글로벌이 2일인 오늘 양재 엘타워에서... 것은 자동화와 AI다. 옵스나우360은 운영 관리에 필요한 전 도구와 데이터를 통합해 모든 클라우드 관련..., https://www.hellot.net/news/article.html?no=74817
15, 부산시 무인자동화 기술로 스마트물류 시대 연다, = 부산시는 과학기술정보통신부와 공동 지원하는 지능형 무인자동화 스마트물류 시스템 연구개발사업을... 가능하고 자동화 모듈이 탑재돼 인력이 부족한 야간시간대에 무인 자동 운용이 가능하다. 지게차의 경우..., http://www.joongdo.co.kr/web/view.php?key=20230202010000596
16, 제우스 에이트테크와 폐기물 자동화 선별 시스템 개발 MOU 체결, 이투데이=박민규 기자 | 반도체 및 로봇 제조 기업 제우스가 에이트테크와 폐기물 자동화 선별 시스템 개발에... 에이트론은 사람이 재활용 폐기물을 직접 분류해내던 기존 방식을 자동화한 스마트 자원 순환 로봇이다...., https://www.etoday.co.kr/news/view/2218403
17, 오송재단 광학 센싱 기반 자동화 분자 진단 시스템 개발, 있는 자동화 분자 진단 시스템을 개발했다고 31일 밝혔다. 전세계적으로 인수공통감염병(Zoonosis)과 같은... 통합된 자동화 진단 시스템의 중요성이 증가하고 있다. 특히 분자 진단 시스템의 는 다양하고..., https://www.sedaily.com/NewsView/29KOT1C2NF
18, [김원배 논설위원이 간다]성큼 다가온 농업 자동화....환경·생육 데이터 확충..., 온도와 습도 채광을 유지하고 양분을 주는 작업이 자동화되기 때문이다. 하지만 이런 자동화만으로 ‘스마트’하다고 말할 수는 없다. 스마트팜의 핵심은 바로 데이터 활용에 있다. 옆 편 사무실로 들어가니 대형..., https://www.joongang.co.kr/article/25137375
19, 이오플로우 곤지암 공장에 이오패치 전 자동화 생산라인 신규 설치, 자동화 생산라인을 신규 설치했다고 2일 밝혔다. 이오플로우는 앞서 연간 최대 70만 개의 패치를 생산할 수 있는 생산설비를 구축 지난 1월 초 국내 GMP 인증을 획득한 바 있다. 여기에 금번에 신규 설치한 전 ..., http://www.newspim.com/news/view/20230202000241
20, SKT 고층 통신탑 점검에 드론·AI 투입해 자동화, 그동안 하나의 통신탑을 점검하기 위해 드론으로 촬영한 100여 장의 이미지를 점검자가 직접 눈으로 확인해야 했으나 이번에 자체 개발한 이미지 판독 AI 모델을 통해 이 과정의 자동화가 가능해졌다고 SK텔레콤은..., https://www.munhwa.com/news/view.html?no=2023013101071707275001
21, 무인·자동화 등 로봇 기술 집중투자… 한달 수익률 20% [이런 펀드 어때요?], 추구한다"면서 "자동화·무인화 기술과 관련된 기업에 집중 투자한다"고 소개했다. 국내에서도 경쟁력 있는... 올해 로봇테마 전망에 대해서는 고령화 저출산에 따라 무인화 자동화에 대한 수요가 지속적으로 높아질 수..., http://www.fnnews.com/news/202301291850384837
22, 에스티아이 "반도체·디스플레이 자동화 시스템 개발 완료", 반도체 및 디스플레이 장비 전문기업 에스티아이(039440)는 “자동화 시스템 개발 및 양산을 진행하고 있다”고 30일 밝혔다. 에스티아이의 자동화 시스템은 반도체와 디스플레이 공정에 필요한 유해 화학약품을 취급하는..., http://www.edaily.co.kr/news/newspath.asp?newsid=01872886635482968
23, 영남이공대 오므론 산업자동화시스템 국제공인 자격시험 19명 합격, 영남이공대는 ICT반도체전자계열 학생 19명이 오므론 산업자동화시스템 국제공인 자격인증을 취득했다고 2일 밝혔다. 오므론 산업자동화시스템 국제공인 자격인증시험은 글로벌 산업 자동화 전문인력 양성을..., http://news.heraldcorp.com/village/view.php?ud=202302031316298886818_10
24, 약국자동화 전문 '제이브이엠' 2022년 매출 1400억원 돌파, 제이브이엠 측은 약국 자동화 시스템에 대한 수요 증가에 따라 향후 매출 증가세가 고조될 것으로... 약국 자동화 제품들에 대한 수요가 커졌다. 팬데믹 종료 후에도 관련 트렌드가 지속될 것”이라며..., http://www.edaily.co.kr/news/newspath.asp?newsid=03184886635481984
25, LG전자 "무인자동화 솔루션으로 로봇 사업 확대", LG전자가 올해 로봇 기반 무인 자동화 시스템 등을 본격 추진하며 로봇 사업을 확대한다. LG전자는 27일... 무인 자동화 솔루션을 준비해 고객들이 LG클로이 만나고 경험할 수 있는 장을 넓혀갈 예정"이라고 밝혔다. LG전자가..., http://www.newsis.com/view/?id=NISX20230127_0002172337&cID=13001&pID=13000
26, 공정자동화 전문기업 '팸텍' 코스닥 상장예비심사 통과, 이에 더해 반도체 장비사업의 성과와 IT 외에도 다양한 산업으로 적용되고 있는 공정자동화 사업의 성장세까지 더해져 향후 성장성에 대해서도 어느정도 청사진이 그려지고 있다"고 전했다. 한편 이번 스팩합병..., http://www.datanet.co.kr/news/articleView.html?idxno=180673
27, 광양제철소 1코크스공장 설비 자동화 체계적 인재육성 성과, 1년간 총 15건의 위드마이머신 활동을 수행했으며 일부 수작업이 필요했던 △자재 상하 반전 △온도 측정 △수리장 대차운전 △가스설비관련 업무들을 완전 자동화해 리스크를 제로화했다. 또한 원료(석탄)..., http://www.enewstoday.co.kr/news/articleView.html?idxno=1635200
28, 로보아르테 조리 자동화 시스템 첫 해외 수출, 로보아르테(대표 강지영)는 직접 개발한 조리 자동화 로봇을 미국 북동부 오하이오주에 오픈하는 누리치킨... 로보아르테가 개발한 조리 자동화 시스템은 협동로봇을 활용하여 치킨 감자튀김 등 대부분의 튀김 메뉴를..., http://news.mt.co.kr/mtview.php?no=2023013110184873959
29, 포스코 광양제철소 설비 자동화 'QSS대상' 수상, 이를 통해 1년간 총 15건의 '위드 마이 머신' 활동을 수행해 ▲자재 상하 반전 ▲온도 측정 ▲수리장 대차운전 ▲가스설비관련 업무들을 완전 자동화했다. 또 원료(석탄) 공급설비 덮개를 보완해 분진발생량을 저감하는..., http://www.ferrotimes.com/news/articleView.html?idxno=24865
30, 이오플로우 곤지암 공장에 이오패치 전 자동화 생산라인 신규 설치, 자동화 생산라인을 신규 설치했다고 2일 밝혔다. 이오플로우는 앞서 연간 최대 70만 개의 패치를 생산할 수 있는 생산설비를 구축 지난 1월 초 국내 GMP 인증을 획득한 바 있다. 여기에 금번에 신규 설치한 전 ..., https://www.medigatenews.com/news/2031836547
31, 한국지멘스 ‘스마트공장·자동화산업전 2023’ 참가, 한국지멘스는 3월 8일부터 10일까지 코엑스에서 열리는 ‘스마트공장·자동화산업전 2023’에 참가한다고 밝혔다. 이번 전시회에서 지멘스는 ‘상상을 현실로!’라는 주제 아래 고객이 현실 세계와 디지털 세계를 연결해..., https://www.etnews.com/20230130000042
32, 영남이공대학교 글로벌 산업자동화 전문인력 양성에 앞장, 산업자동화시스템 국제공인 자격인증을 취득했다"고 2일 말했다. 한편 영남이공대학교 ICT반도체전자계열은 2018년부터 올해까지 총 50명의 오므론 산업자동화시스템 국제공인 자격인증 인재를 배출하며 글로벌 산업..., https://www.gukjenews.com/news/articleView.html?idxno=2647606
33, 신한은행 디지털 금고 시범 운영… “현금·골드바 자동화 관리”, 신한은행은 디지털 기술을 활용해 현금과 골드바 등 현물을 자동화로 관리하는 ‘디지털(Digital) 금고’를... 신한은행에 따르면 디지털 금고는 영업점 직원(Teller)이 관리하던 현금과 현물을 로봇화(Roid)된 ..., https://biz.chosun.com/stock/finance/2023/01/25/5MM5HK4K75DVLHDYWVSWZPOI2E/?utm_source=naver&utm_medium=original&utm_campaign=biz
34, 부엔까미노 월급관리 자동화 앱 '세이블' 정식 출시, 핀테크 스타트업 부엔까미노(Buen Camino)는 통장쪼개기 방식으로 월급 관리 계획(Financial Planning)을 수립하고 저축을 자동화해 계획적으로 돈을 관리할 수 있도록 돕는 세이블(SAVLE)을 정규 앱 서비스로 선보였다고 1일..., http://www.digitaltoday.co.kr/news/articleView.html?idxno=469344
35, Geek+ Boomi사와 스마트 물류 플랫폼 자동화 나선다, 자율 모바일 로봇 및 자동 가이드 차량 제조업체 Geek+가 곧 출시되는 스마트 물류 플랫폼 자동화를 위해 Boomi사와 손잡았다. 미국 펜실베니아에 본사를 둔 Boomi는 클라우드 기반의 통합 솔루션인 iPaaS..., http://www.klnews.co.kr/news/articleView.html?idxno=306979
36, 클리노믹스 주가 강세 암 탐지 액체생검 자동화 기기 발표, 클리노믹스 주가가 강세다. 2일 오전 11시 25분 기준 클리노믹스는 23.93%(1840원) 상승한 9530원에 거래되고 있다. 클리노믹스는 이날 암 환자의 혈액속에 떠 다니는 암 DNA와 암세포를 자동으로 분리해주는 기기인 CD..., https://www.jejutwn.com/news/article.html?no=161348
37, 공정자동화 전문 '팸텍' 코스닥 예심 통과…내달 말 스팩합병 승인 주총, 공정자동화 전문기업 팸텍(대표이사 김재웅)이 상장예비심사를 통과하고 합병상장 절차를 본격화한다.... 핵심기술로는 자동화장비 설계기술 정밀모션 제어기술 소자검사 기술 영상처리 소프트웨어 개발기술..., http://www.the-stock.kr/news/articleView.html?idxno=17798
38, 훼스토 실시간 AI 'Festo AX'로 자동화 디지털라이제이션 가속화, 세계적인 공장 자동화 기업 Festo가 '세미콘 코리아 2023'에 참가해 자동화 산업의 디지털라이제이션을 위한 토탈 솔루션을 선보였다. Festo는 자체 기술만으로 자연의 움직임을 재연한 생체 모방형 로봇..., http://www.industrynews.co.kr/news/articleView.html?idxno=48724
39, 시민도 앱을 만들 수 있을까? 해답은 로우코드와 자동화, 플랫폼과 자동화의 콜라보 (Feat. 시민개발자)’ 내용을 정리한 것입니다. 로우코드 등장 이후에도 여전히 개발은 어렵다고 생각하는 사용자가 많다. 실제로 로우코드 자동화 툴을 만드는 유아이패스가 현재 로우코드..., https://byline.network/?p=9004111222494702
40, [세미콘코리아 2023] 라온테크 로봇과 자동화 시스템 전문기업, 로봇과 자동화 시스템을 공급하며 반도체와 FPD 산업의 발전에 기여하고 있다 사진 여기에 사진 여기에 3일간 진행되는 20여개 콘퍼런스에는 글로벌 반도체 공급망에 속한 대표 기업이 참여하여 첨단 반도체 제조..., http://robotzine.co.kr/entry/264328
41, [fn마켓워치]본촌인터내셔날 '무인 자동화 주방 플랫폼'에 전략적 투자, 프랜차이즈 본촌치킨 운영사 본촌인터내셔날이 무인 자동화 주방 플랫폼에 전략적 투자를 단행해 이목을... 퓨처키친은 로봇을 통해 자동으로 음식을 주문받고 제조까지 완료하는 주방 자동화 플랫폼을 개발한다...., http://www.fnnews.com/news/202301260902131371
42, 신한은행 'Digital 금고'로 현물 자동화 관리, 현물을 자동화로 관리하는 'Digital 금고'를 시범 운영한다고 25일 전했다. 기존 은행들은 현금과 현물을... 'Digital 금고'는 영업점 직원(Teller)이 관리하던 현금과 현물을 로봇화(Roid)된 시스템이 관리한다는..., http://www.cbci.co.kr/news/articleView.html?idxno=437641
43, 서울시 수돗물 '활성탄 관리 자동화 기술' 개발, 활성탄 팽창률 자동 측정 장치. 사진/서울시서울물연구원이 수돗물 생산과정 중 입상활성탄(숯) 품질관리에 필요한 '활성탄 팽창률 자동 측정장치'를 국내 최초로 개발했다고 25일 밝혔다. 서울시는 수돗물 생산을 위해 꼭..., https://news.mtn.co.kr/news-detail/2023012516363115272
44, 자동화 넘어 '가상공간'으로…메타버스팩토리 육성 박차, 정부가 국내 제조기업의 미래 경쟁력을 확보하고자 메타버스팩토리를 본격 육성 제조 디지털전환을 가속할 방침이다. 중소벤처기업부는 제조 중소기업이 메타버스를 활용해 공정 최적화 고숙련자의 노하우 전수 등을..., http://www.koit.co.kr/news/articleView.html?idxno=109202
45, [쌍끌이 일타강사] 로봇 테마 편입! 물류 자동화 설비 기업 '현대무벡스', 출연> 김민재 / 주식명가 MTN W 어드바이저 ▶이 시각 '쌍끌이' 매수 종목 - 셀트리온헬스케어(091990) 신규 매수! 목표가 62000원 / 손절가 56000원 셀트리온헬스케어(091990) - 마인즈랩(377480) 보유자..., https://news.mtn.co.kr/news-detail/2023020112580167037
46, 로봇이 세탁통 만들고 무인차로 운반… "올 자동화율 70%로", 공정 자동화에도 공을 들였다. LG전자 관계자는 "테네시 공장을 세계경제포럼(WEF) 등대공장으로 선정된... ■ 자동화율 연내 70% 목표 테네시 공장은 부품 제조부터 세탁기를 완성하고 포장하는 작업까지 하나의..., http://www.fnnews.com/news/202301151845517858
47, [SF+AW 2023 PREVIEW] 제우스 공정 자동화 가능한 협동 로봇 공개, 제우스가 오는 2023년 3월 8일부터 10일까지 서울 코엑스에서 열리는 스마트공장·자동화산업전 2023(Smart Factory+Automation World 2023 이하 SF+AW 2023)’에 참가한다. 제우스는 공정 시스템 구축을 위한..., https://www.hellot.net/news/article.html?no=74727
48, 신한은행 'Digital 금고' 시범 운영…현금·골드바 등 현물 관리 자동화, 신한은행이 디지털 기술을 활용해 현금과 골드바 등 현물을 자동화로 관리하는 'Digital 금고'를 금융권... 'Digital 금고'는 영업점 직원(Teller)이 관리하던 현금과 현물을 로봇화(Roid)된 자동화 시스템이 관리한다는..., http://sports.chosun.com/news/ntype.htm?id=202301270100163000021158&servicedate=20230126
49, [세미콘코리아] 초음파 원리 기반…비파괴 결함 자동화 검사장비 선보여, 오랩스(OHLABS)(주)는 세미콘코리아(SEMICON KOREA) 2023에서 초음파 원리 기반 웨이퍼 전용 비파괴 결함 자동화 검사 장비를 선보였다. 이 제품에 대해 최재엽 실장은 자체적인 기술 개발을 통해 산업용 로봇과 고속 초음파..., http://www.kidd.co.kr/news/231185
